stop_lat,stop_code,stop_lon,stop_id,stop_name,location_type,zone_id
45.3728653499,76129,-73.5746751391,SCS44D,rue de la Mairie / rue Pierre-Dupuis,0,5
45.3928596673,76276,-73.5605121466,SCA125D,rue des Alouettes / rue des Faucons,0,5
45.3704898456,76427,-73.5871833096,SCS211D,montée St-Régis / rue du Génévrier,0,5
45.3754976855,76010,-73.5670434856,SCS19C,rue St-Pierre / rue Perras,0,5
45.3754976855,76136,-73.5670434856,SCS19A,rue St-Pierre / rue Perras,0,5
45.3668530427,76406,-73.5417442016,DEL69A,rue Principale / face à la gare Delson,0,5
45.4009106388,76060,-73.5473257371,SCA81D,boul. Marie-Victorin / place Charles-Lemoyne,0,5
45.5363025781,76012,-73.4960691427,LON71B,Cégep Édouard Montpetit,0,3
45.3909752071,76043,-73.5496290391,SCA79C,rue Jogues / rue de l'Acadia,0,5
45.3925884077,76251,-73.5898354589,SCS2A,rue Maçon / rue Magdeleine,0,5
45.3888187811,76092,-73.5763818827,SCS158B,rue Leduc / rue Laplante,0,5
45.4009106388,76407,-73.5473257371,SCA81B,boul. Marie-Victorin / place Charles-Lemoyne,0,5
45.3769843679,76439,-73.6011232758,SCS219C,rue Sainte-Catherine / rue Riopelle,0,5
45.3690002218,76237,-73.5678017869,SCS96B,rue Beaumont / rue Berger,0,5
45.3683888956,76203,-73.5807459392,SCS188D,montée St-Régis / rue du Bassin,0,5
45.3952426874,76038,-73.5634778406,SCA31D,boul. St-Laurent / rue des Éperviers,0,5
45.376508984,76247,-73.540627723,DEL5A,rue Principale / montée des Bouleaux,0,5
45.376508984,76003,-73.540627723,DEL5C,rue Principale / montée des Bouleaux,0,5
45.3835593409,76299,-73.5824914242,SCS163B,ch. Ste-Catherine / rue Proulx,0,5
45.3728552509,76157,-73.541429438,DEL3C,rue Principale / 4e avenue,0,5
45.378114353,76125,-73.5836198892,SCS148C,rue Monchamps / face au centre municipal,0,5
45.3721313237,76430,-73.5938374378,SCS212D,montée St-Régis / rue des Grenadiers,0,5
45.3943358141,76039,-73.5597984901,SCA27D,boul. St-Laurent / rue des Faucons,0,5
45.3815048299,76296,-73.573447908,SCS169B,ch. Ste-Catherine / rue St-Charles,0,5
45.3835593409,76197,-73.5824914242,SCS163D,ch. Ste-Catherine / rue Proulx,0,5
45.4007833641,76180,-73.5503529384,SCA8B,rue des Cascades / boul. Marie-Victorin,0,5
45.4012267738,76188,-73.5443753111,SCA18D,boul. Marie-Victorin / rue Jogues,0,5
45.3728552509,76165,-73.541429438,DEL3A,rue Principale / 4e avenue,0,5
45.3885274329,76029,-73.5930855515,SCS4A,rue Monette / rue Mongeau,0,5
45.3825185491,76192,-73.5903558216,SCS81C,rue Valois / rue Vincent,0,5
